"well_name","ReportDate","WellType","Vol_Liq","Vol_Gas"
M-02,1986-03-01 00:00:00.000,"4",234771,0
M-02,1985-04-01 00:00:00.000,"4",545265,0
M-02,1985-12-01 00:00:00.000,"4",458327,0
M-02,1985-09-01 00:00:00.000,"4",553345,0
M-02,1986-08-01 00:00:00.000,"4",415846,0
M-02,1987-06-01 00:00:00.000,"4",558196,0
M-02,1986-11-01 00:00:00.000,"4",563646,0
M-02,1985-02-01 00:00:00.000,"4",459904,0
M-02,1985-07-01 00:00:00.000,"4",528820,0
M-02,1986-10-01 00:00:00.000,"4",572482,0
M-02,1988-01-01 00:00:00.000,"4",471160,0
M-02,1988-02-01 00:00:00.000,"4",70094,703221
M-02,1986-02-01 00:00:00.000,"4",207951,0
M-02,1984-08-01 00:00:00.000,"4",205007,0
M-02,1985-01-01 00:00:00.000,"4",415069,0
M-02,1986-09-01 00:00:00.000,"4",520458,0
M-02,1986-01-01 00:00:00.000,"4",417723,0
M-02,1987-11-01 00:00:00.000,"4",439348,0
M-02,1988-04-01 00:00:00.000,"4",473544,0
M-02,1984-11-01 00:00:00.000,"4",290203,0
M-02,1987-03-01 00:00:00.000,"4",553896,0
M-02,1984-09-01 00:00:00.000,"4",396470,0
M-02,1987-12-01 00:00:00.000,"4",529186,0
M-02,1988-06-01 00:00:00.000,"4",461304,3593
M-02,1985-10-01 00:00:00.000,"4",569037,0
M-02,1986-05-01 00:00:00.000,"4",211602,0
M-02,1987-04-01 00:00:00.000,"4",534020,0
M-02,1985-03-01 00:00:00.000,"4",552710,0
M-02,1987-10-01 00:00:00.000,"4",303052,0
M-02,1988-10-01 00:00:00.000,"4",0,0
M-02,1985-08-01 00:00:00.000,"4",536680,0
M-02,1987-08-01 00:00:00.000,"4",470300,0
M-03,1990-08-01 00:00:00.000,"4",11468,0
M-03,2001-06-01 00:00:00.000,"4",0,0
M-03,1992-11-01 00:00:00.000,"4",0,1346735
M-03,1986-07-01 00:00:00.000,"4",332841,0
M-03,1991-10-01 00:00:00.000,"4",50439,1220939
M-03,1996-08-01 00:00:00.000,"4",286767,0
M-03,1995-02-01 00:00:00.000,"4",351337,0
M-03,2000-09-01 00:00:00.000,"4",0,0
M-03,1992-08-01 00:00:00.000,"4",578951,0
M-03,1985-09-01 00:00:00.000,"4",539503,0
M-03,1988-02-01 00:00:00.000,"4",40246,94277
M-03,2001-01-01 00:00:00.000,"4",0,0
M-03,2000-10-01 00:00:00.000,"4",0,0
M-03,1995-12-01 00:00:00.000,"4",583200,0
